type,dust,wr,games,duration,card_0,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_11,card_12,card_13,card_14,card_15,card_16,card_17,card_18,card_19,card_20,card_21,card_22,card_23,card_24,card_25,card_26,card_27,card_28,card_29,wins,hero
Highlander Mage,20480,0.551,1200,9.1,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Dragonmaw Poacher,Escaped Manasaber,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,The Amazing Reno,661.2,Mage
Galakrond Warlock,15500,0.551,1800,9.6,Sacrificial Pact,Mortal Coil,Plague of Flames,Nether Breath,Zephrys the Great,Bad Luck Albatross,Dark Skies,Dragonblight Cultist,SN1P-SN4P,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Crazed Netherwing,Shield of Galakrond,Zilliax,Kronx Dragonhoof,"Galakrond, the Wretched",Lord Godfrey,Alexstrasza,Dragonqueen Alexstrasza,,,,,,,,,,,991.8000000000001,Warlock
Highlander Mage,19520,0.551,1000,8.6,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Amplifier,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Fireball,Spellbreaker,Twilight Drake,"Malygos, Aspect of Magic",Naga Sand Witch,Zilliax,Blizzard,Dragoncaster,Reno the Relicologist,Luna's Pocket Galaxy,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Puzzle Box of Yogg-Saron,Pyroblast,551.0,Mage
Face Hunter,3540,0.551,1700,5.4,Leper Gnome,Stonetusk Boar,Toxic Reinforcements,Worgen Infiltrator,Explosive Trap,Headhunter's Hatchet,Kobold Sandtrooper,Phase Stalker,Eaglehorn Bow,Ironbeak Owl,Jungle Panther,Kill Command,Unleash the Hounds,Wolfrider,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,936.7,Hunter
Galakrond Warrior,6520,0.551,1400,7.6,Inner Rage,Eternium Rover,Town Crier,Battle Rage,Cruel Taskmaster,Ritual Chopper,Temple Berserker,Awaken!,Bloodsworn Mercenary,EVIL Quartermaster,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,,771.4000000000001,Warrior
Quest Druid,10480,0.551,1000,9.7,Innervate,Untapped Potential,Worthy Expedition,Crystal Merchant,Rising Winds,Steel Beetle,Wrath,Ferocious Howl,Wardruid Loti,Flobbidinous Floop,Swipe,Anubisath Defender,Oasis Surger,Starfall,Hidden Oasis,Nourish,Cenarius,"Ysera, Unleashed",,,,,,,,,,,,,551.0,Druid
Galakrond Warrior,8040,0.551,2200,7.7,Inner Rage,Risky Skipper,Town Crier,Armorsmith,Battle Rage,Ritual Chopper,Acolyte of Pain,Awaken!,Bloodsworn Mercenary,Bomb Wrangler,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Leeroy Jenkins,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,1212.2,Warrior
Highlander Galakrond Rogue,18720,0.551,7900,8.9,Backstab,Shadowstep,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Skyvateer,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Dragonmaw Poacher,Hench-Clan Burglar,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,4352.900000000001,Rogue
Galakrond Rogue,18640,0.551,1300,8.4,Backstab,Shadowstep,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Serrated Tooth,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Bone Wraith,Devoted Maniac,Hench-Clan Burglar,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,716.3000000000001,Rogue
Resurrect Priest,12740,0.551,4000,10.9,Forbidden Words,Penance,Seance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Bone Wraith,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Catrina Muerte,Archivist Elysiana,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,"Hakkar, the Soulflayer",,,,,,,,,,2204.0,Priest
Galakrond Rogue,12060,0.55,1000,8.7,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Skyvateer,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,550.0,Rogue
Embiggen Druid,6680,0.55,1600,6.6,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,Witching Hour,Dragonmaw Poacher,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,880.0000000000001,Druid
Galakrond Rogue,18700,0.55,2000,8.7,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Dragonmaw Poacher,Hench-Clan Burglar,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,1100.0,Rogue
Galakrond Rogue,12260,0.55,1200,9.3,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,660.0,Rogue
Face Hunter,4200,0.55,2600,5.6,Arcane Shot,Blazing Battlemage,Dwarven Sharpshooter,Leper Gnome,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Phase Stalker,Snake Trap,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,1430.0000000000002,Hunter
Hand Warlock,14000,0.55,6800,7.8,Mortal Coil,Soulfire,Firetree Witchdoctor,Nether Breath,Sunfury Protector,Dark Skies,Scalerider,Frizz Kindleroost,Twilight Drake,Crazed Netherwing,Leeroy Jenkins,Zilliax,Abyssal Summoner,Evasive Drakonid,Lord Godfrey,Valdris Felgorge,Alexstrasza,Malygos,Mountain Giant,,,,,,,,,,,,3740.0000000000005,Warlock
Embiggen Druid,8120,0.55,1900,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,"Ysera, Unleashed",,,,,,,,,,,,,,1045.0,Druid
Galakrond Rogue,13820,0.55,1400,8.5,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,770.0000000000001,Rogue
Galakrond Warlock,14360,0.55,3100,9.6,Sacrificial Pact,Mortal Coil,Plague of Flames,Nether Breath,Zephrys the Great,Bad Luck Albatross,Dark Skies,Dragonblight Cultist,SN1P-SN4P,Devoted Maniac,Veiled Worshipper,Crazed Netherwing,Shield of Galakrond,Zilliax,Kronx Dragonhoof,"Galakrond, the Wretched",Twisting Nether,Alexstrasza,Dragonqueen Alexstrasza,,,,,,,,,,,,1705.0000000000002,Warlock
Galakrond Rogue,13760,0.55,1300,8.8,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,,,,,,,,,,,,715.0000000000001,Rogue
Galakrond Warrior,13080,0.55,2600,9.7,Eternium Rover,Town Crier,Armorsmith,Dragon Breeder,Ritual Chopper,Awaken!,EVIL Quartermaster,Livewire Lance,SN1P-SN4P,Devoted Maniac,Scion of Ruin,Barista Lynchen,Big Ol' Whelp,Shield of Galakrond,Zilliax,Kronx Dragonhoof,"Galakrond, the Unbreakable","Deathwing, Mad Aspect",,,,,,,,,,,,,1430.0000000000002,Warrior
Galakrond Warrior,8200,0.55,2200,8.8,Inner Rage,Eternium Rover,Town Crier,Whirlwind,Armorsmith,Battle Rage,Ritual Chopper,Acolyte of Pain,Awaken!,Bloodsworn Mercenary,EVIL Quartermaster,Devoted Maniac,Scion of Ruin,Leeroy Jenkins,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,1210.0,Warrior
Galakrond Rogue,15880,0.55,1100,8.9,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,EVIL Cable Rat,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Hench-Clan Burglar,Vendetta,Faceless Corruptor,Leeroy Jenkins,Necrium Apothecary,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,Mechanical Whelp,"Galakrond, the Nightmare",Anubisath Warbringer,Dragonqueen Alexstrasza,605.0,Rogue
Galakrond Zoo Warlock,5440,0.55,3100,6.9,Beaming Sidekick,Blazing Battlemage,Flame Imp,Grim Rally,Voidwalker,EVIL Genius,Knife Juggler,Scarab Egg,Dragonblight Cultist,Devoted Maniac,Fiendish Rites,Faceless Corruptor,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Wretched",Sea Giant,,,,,,,,,,,,,,,1705.0000000000002,Warlock
Quest Druid,10560,0.55,4000,8.6,Innervate,Untapped Potential,Worthy Expedition,Crystal Merchant,Power of the Wild,Rising Winds,Wrath,Ferocious Howl,Wardruid Loti,Flobbidinous Floop,Swipe,Anubisath Defender,Oasis Surger,Starfall,Hidden Oasis,Nourish,Cenarius,"Ysera, Unleashed",,,,,,,,,,,,,2200.0,Druid
Highlander Galakrond Rogue,18600,0.55,10000,9.2,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Acidic Swamp Ooze,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Hench-Clan Burglar,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,5500.0,Rogue
Galakrond Warrior,11180,0.55,1300,9.7,Eternium Rover,Spirit of the Rhino,Town Crier,Acidic Swamp Ooze,Ritual Chopper,Acolyte of Pain,Awaken!,EVIL Quartermaster,Shield Block,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Spellbreaker,Brawl,Leeroy Jenkins,Shield of Galakrond,Zilliax,Kronx Dragonhoof,"Galakrond, the Unbreakable","Deathwing, Mad Aspect",,,,,,,,,,,715.0000000000001,Warrior
Galakrond Rogue,13720,0.55,2200,8.9,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Skyvateer,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,1210.0,Rogue
Highlander Dragon Paladin,14980,0.5489999999999999,2500,8.7,Blazing Battlemage,Crystology,Glow-Tron,Hot Air Balloon,Sand Breath,Firetree Witchdoctor,Flash of Light,Micro Mummy,Sanctuary,Sir Finley of the Sands,Zephrys the Great,Bronze Explorer,Bronze Herald,Mind Control Tech,Scalerider,SN1P-SN4P,Consecration,Frizz Kindleroost,Truesilver Champion,Amber Watcher,Big Ol' Whelp,Dragonmaw Scorcher,Faceless Corruptor,Shrink Ray,Zilliax,Evasive Wyrm,Crowd Roaster,Siamat,Tirion Fordring,Dragonqueen Alexstrasza,1372.4999999999998,Paladin
Face Hunter,1920,0.5489999999999999,1300,5.5,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Spellzerker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,713.6999999999999,Hunter
Embiggen Druid,6620,0.5489999999999999,3300,6.9,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,Witching Hour,Archmage Vargoth,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,1811.6999999999998,Druid
Galakrond Rogue,13760,0.5489999999999999,1000,8.9,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Skyvateer,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,548.9999999999999,Rogue
Quest Druid,9000,0.5489999999999999,21000,9.1,Innervate,Untapped Potential,Worthy Expedition,Crystal Merchant,Power of the Wild,Rising Winds,Wrath,Ferocious Howl,Wardruid Loti,Flobbidinous Floop,Swipe,Anubisath Defender,Oasis Surger,Starfall,Hidden Oasis,Nourish,"Ysera, Unleashed",,,,,,,,,,,,,,11528.999999999998,Druid
Highlander Galakrond Rogue,17040,0.5489999999999999,5900,9.4,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Acidic Swamp Ooze,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Hench-Clan Burglar,Spellbreaker,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,3239.0999999999995,Rogue
Holy Wrath Paladin,9000,0.5489999999999999,10000,9.4,Crystology,Elven Archer,Baleful Banker,Bloodmage Thalnos,Crystalsmith Kangor,Flash of Light,Novice Engineer,Wild Pyromancer,Zephrys the Great,Acolyte of Pain,Time Out!,Consecration,Equality,Hammer of Wrath,Prismatic Lens,Truesilver Champion,Holy Wrath,Shrink Ray,Sathrovarr,"Shirvallah, the Tiger",,,,,,,,,,,5489.999999999999,Paladin
Highlander Hunter,17840,0.5489999999999999,1700,7.1,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Firetree Witchdoctor,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Houndmaster Shaw,Big Ol' Whelp,Leeroy Jenkins,Rotnest Drake,Zilliax,Evasive Wyrm,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,933.2999999999998,Hunter
Quest Hunter,11940,0.5489999999999999,1000,8.6,Clear the Way,Springpaw,Unseal the Vault,Hench-Clan Hogsteed,Questing Explorer,Revenge of the Wild,Scavenging Hyena,Desert Spear,Diving Gryphon,SN1P-SN4P,Unleash the Hounds,Cult Master,Faceless Corruptor,"Halazzi, the Lynx",Leeroy Jenkins,Zilliax,Swarm of Locusts,Shu'ma,Sea Giant,,,,,,,,,,,,548.9999999999999,Hunter
Face Hunter,3480,0.5489999999999999,5700,5.1,Arcane Shot,Leper Gnome,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Worgen Infiltrator,Explosive Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,3129.2999999999997,Hunter
Highlander Galakrond Rogue,15640,0.5479999999999999,1000,9.1,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Bone Wraith,Devoted Maniac,Hench-Clan Burglar,Spirit of the Shark,Vendetta,Faceless Corruptor,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Khartut Defender,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,547.9999999999999,Rogue
Embiggen Druid,8240,0.5479999999999999,1000,6.4,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Scalerider,SN1P-SN4P,Dragonmaw Poacher,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,547.9999999999999,Druid
Highlander Warrior,14140,0.5479999999999999,3400,13.1,Eternium Rover,Omega Assembly,Shield Slam,Town Crier,Whirlwind,Dragon Roar,Firetree Witchdoctor,Warpath,Zephrys the Great,EVIL Quartermaster,Livewire Lance,Nightmare Amalgam,Ramming Speed,Shield Block,Smolderthorn Lancer,SN1P-SN4P,Molten Breath,Omega Devastator,Restless Mummy,Brawl,Cobalt Spellkin,Dragonmaw Scorcher,Dyn-o-matic,Emberscale Drake,Plague of Wrath,Zilliax,Crowd Roaster,"Deathwing, Mad Aspect","Dr. Boom, Mad Genius",Dragonqueen Alexstrasza,1863.1999999999998,Warrior
Highlander Mage,20380,0.5479999999999999,2400,9.3,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Bad Luck Albatross,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Escaped Manasaber,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,The Amazing Reno,1315.1999999999998,Mage
Galakrond Warlock,15440,0.5479999999999999,28000,9.5,Sacrificial Pact,Mortal Coil,Plague of Flames,Nether Breath,Zephrys the Great,Dark Skies,Dragonblight Cultist,SN1P-SN4P,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Crazed Netherwing,Shield of Galakrond,Zilliax,Kronx Dragonhoof,"Galakrond, the Wretched",Lord Godfrey,Alexstrasza,Dragonqueen Alexstrasza,,,,,,,,,,,,15343.999999999998,Warlock
Highlander Mage,20820,0.5479999999999999,28000,8.8,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Twilight Drake,Big Ol' Whelp,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Mountain Giant,15343.999999999998,Mage
Quest Hunter,12600,0.5479999999999999,1400,7.8,Clear the Way,Springpaw,Tracking,Unseal the Vault,Hench-Clan Hogsteed,Questing Explorer,Desert Spear,Diving Gryphon,SN1P-SN4P,Unleash the Hounds,Bone Wraith,Sky Gen'ral Kragg,Faceless Corruptor,"Halazzi, the Lynx",Leeroy Jenkins,Zilliax,Swarm of Locusts,Veranus,Boommaster Flark,,,,,,,,,,,,767.1999999999999,Hunter
Galakrond Warrior,6480,0.5479999999999999,7400,7.6,Inner Rage,Risky Skipper,Town Crier,Armorsmith,Battle Rage,Ritual Chopper,Acolyte of Pain,Awaken!,Bloodsworn Mercenary,Bomb Wrangler,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,,4055.1999999999994,Warrior
Galakrond Zoo Warlock,6040,0.5479999999999999,26000,6.7,Beaming Sidekick,Blazing Battlemage,Flame Imp,Grim Rally,Voidwalker,EVIL Genius,Knife Juggler,Scarab Egg,Dragonblight Cultist,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Wretched",Sea Giant,,,,,,,,,,,,,,,14247.999999999998,Warlock
Highlander Galakrond Rogue,17040,0.5479999999999999,2100,8.9,Backstab,Shadowstep,Bloodsail Flybooter,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Acidic Swamp Ooze,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Hench-Clan Burglar,Troll Batrider,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,1150.8,Rogue
Face Hunter,1880,0.5479999999999999,4000,5.1,Arcane Shot,Blazing Battlemage,Leper Gnome,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,,2191.9999999999995,Hunter
Aggro Overload Shaman,6520,0.547,3300,5.7,Zap!,Blazing Battlemage,Lightning Bolt,Sludge Slurper,Storm's Wrath,Surging Tempest,Voltaic Burst,Earthen Might,Likkim,Rockbiter Weapon,Electra Stormsurge,Lava Burst,Spirit of the Frog,Thunderhead,Vessina,Doomhammer,,,,,,,,,,,,,,,1805.1000000000001,Shaman
Quest Druid,12120,0.547,2400,9.0,Innervate,Untapped Potential,Worthy Expedition,Crystal Merchant,Rising Winds,Wrath,Zephrys the Great,Ferocious Howl,Wardruid Loti,Flobbidinous Floop,Swipe,Anubisath Defender,Oasis Surger,Starfall,Hidden Oasis,Nourish,Cenarius,"Ysera, Unleashed",,,,,,,,,,,,,1312.8000000000002,Druid
Galakrond Rogue,12260,0.547,4800,8.5,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,The Black Knight,"Galakrond, the Nightmare",,,,,,,,,,,,2625.6000000000004,Rogue
Embiggen Druid,6680,0.547,1300,6.5,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Dragonmaw Poacher,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,711.1,Druid
Highlander Mage,19620,0.547,3500,8.7,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Fireball,Spellbreaker,Twilight Drake,"Malygos, Aspect of Magic",Naga Sand Witch,Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Luna's Pocket Galaxy,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Puzzle Box of Yogg-Saron,Pyroblast,1914.5000000000002,Mage
Dragon Hunter,3880,0.547,1800,5.8,Blazing Battlemage,Dwarven Sharpshooter,Tracking,Corrosive Breath,Explosive Trap,Faerie Dragon,Freezing Trap,Phase Stalker,Snake Trap,Primordial Explorer,Scalerider,Stormhammer,Evasive Feywing,Frenzied Felwing,Lifedrinker,Leeroy Jenkins,Rotnest Drake,,,,,,,,,,,,,,984.6,Hunter
Galakrond Rogue,10560,0.547,54000,8.4,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Skyvateer,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,,29538.000000000004,Rogue
Face Hunter,3640,0.547,1800,6.0,Arcane Shot,Dwarven Sharpshooter,Rapid Fire,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Misdirection,Phase Stalker,Spellzerker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,984.6,Hunter
Face Hunter,2600,0.547,2400,4.9,Arcane Shot,Leper Gnome,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Kobold Sandtrooper,Phase Stalker,Snake Trap,Eaglehorn Bow,Kill Command,Unleash the Hounds,Wolfrider,Lifedrinker,,,,,,,,,,,,,,,,1312.8000000000002,Hunter
